epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,932.358,0.38533,0.53896,1.09572,0.81637,0.81206,0.8595,0.66252,0.84997,0.84692,1.45207,0.00024774,0.00024774,0.00024774
43,953.835,0.37426,0.53939,1.09506,0.78543,0.77955,0.80757,0.64966,0.79514,0.9254,1.37916,0.000243611,0.000243611,0.000243611
44,975.905,0.36634,0.52993,1.0819,0.90624,0.79125,0.86446,0.69355,0.81864,0.82009,1.44162,0.000239483,0.000239483,0.000239483
45,1001.26,0.37594,0.54788,1.08903,0.82251,0.85602,0.88673,0.71376,0.7682,0.73833,1.41679,0.000235355,0.000235355,0.000235355
46,1023.49,0.35898,0.523,1.07354,0.72398,0.74355,0.81164,0.64371,0.83948,1.02726,1.54106,0.000231226,0.000231226,0.000231226
47,1044.87,0.36989,0.54012,1.08584,0.80922,0.79979,0.8725,0.70123,0.81243,0.86257,1.54051,0.000227098,0.000227098,0.000227098
48,1066.88,0.34857,0.51317,1.06975,0.83305,0.82583,0.87501,0.69358,0.82464,0.78856,1.4926,0.00022297,0.00022297,0.00022297
49,1089.48,0.36193,0.52348,1.07353,0.83989,0.80511,0.86589,0.70757,0.82327,0.77387,1.43747,0.000218842,0.000218842,0.000218842
50,1111.24,0.33647,0.5121,1.06476,0.78579,0.82418,0.87419,0.71174,0.79163,0.76695,1.41646,0.000214713,0.000214713,0.000214713
51,1134.07,0.34502,0.50359,1.05591,0.79136,0.79798,0.87142,0.69744,0.79237,0.85134,1.44031,0.000210585,0.000210585,0.000210585
52,1156.61,0.3488,0.49118,1.07861,0.85099,0.78336,0.8705,0.70405,0.81818,0.79961,1.47819,0.000206457,0.000206457,0.000206457
53,1178.05,0.34757,0.4988,1.0651,0.76173,0.77428,0.83024,0.66145,0.84639,0.85828,1.55667,0.000202328,0.000202328,0.000202328
54,1199.63,0.33453,0.49767,1.06464,0.73005,0.87312,0.86649,0.69319,0.85161,0.76129,1.44683,0.0001982,0.0001982,0.0001982
55,1222.06,0.33703,0.48416,1.0599,0.80615,0.82328,0.88801,0.73308,0.78711,0.78087,1.44976,0.000194072,0.000194072,0.000194072
56,1244.36,0.32333,0.46457,1.04933,0.74368,0.85576,0.85524,0.69842,0.81865,0.82481,1.48096,0.000189943,0.000189943,0.000189943
57,1265.39,0.32488,0.45177,1.05634,0.81303,0.82188,0.85512,0.69742,0.82009,0.83502,1.46844,0.000185815,0.000185815,0.000185815
58,1288.07,0.32415,0.44172,1.05061,0.77623,0.82648,0.84307,0.68497,0.80817,0.75991,1.48407,0.000181687,0.000181687,0.000181687
59,1310.96,0.32059,0.44959,1.04095,0.87485,0.80102,0.87835,0.72463,0.79009,0.69168,1.42819,0.000177559,0.000177559,0.000177559
60,1332.43,0.32485,0.43601,1.04112,0.8557,0.80074,0.86428,0.69784,0.80345,0.75503,1.48242,0.00017343,0.00017343,0.00017343
61,1355.29,0.32008,0.44083,1.05119,0.83861,0.80105,0.86774,0.72819,0.74655,0.74667,1.38837,0.000169302,0.000169302,0.000169302
62,1378.63,0.31655,0.43895,1.04036,0.74973,0.89156,0.89485,0.70803,0.84635,0.75917,1.49002,0.000165174,0.000165174,0.000165174
63,1400.96,0.31765,0.43659,1.04593,0.80455,0.90166,0.91463,0.74459,0.79665,0.63329,1.4872,0.000161045,0.000161045,0.000161045
64,1422.54,0.29749,0.42176,1.02519,0.87256,0.86133,0.90673,0.73374,0.79831,0.66946,1.53438,0.000156917,0.000156917,0.000156917
65,1444.59,0.29323,0.42743,1.02826,0.85624,0.86116,0.8941,0.72686,0.81654,0.6609,1.50013,0.000152789,0.000152789,0.000152789
66,1466.55,0.30841,0.42851,1.03347,0.77871,0.88691,0.87834,0.69866,0.80994,0.77047,1.47739,0.00014866,0.00014866,0.00014866
67,1488.11,0.29106,0.39486,1.03074,0.83833,0.84497,0.89993,0.73628,0.7591,0.66679,1.42009,0.000144532,0.000144532,0.000144532
68,1510.32,0.31921,0.42166,1.0482,0.83957,0.83097,0.89862,0.72618,0.78941,0.71273,1.46216,0.000140404,0.000140404,0.000140404
69,1532.42,0.2975,0.38979,1.0367,0.81566,0.84939,0.86547,0.71282,0.8189,0.76892,1.51663,0.000136276,0.000136276,0.000136276
70,1553.79,0.30296,0.41252,1.03189,0.79233,0.87239,0.88187,0.72169,0.78469,0.7687,1.47492,0.000132147,0.000132147,0.000132147
71,1575.35,0.30221,0.39641,1.02824,0.9019,0.81848,0.91128,0.7308,0.77686,0.68608,1.46054,0.000128019,0.000128019,0.000128019
72,1597.25,0.27645,0.38422,1.01713,0.85239,0.86595,0.91598,0.74138,0.77817,0.61802,1.43107,0.000123891,0.000123891,0.000123891
73,1619.41,0.29464,0.39534,1.02861,0.89814,0.82459,0.91641,0.74533,0.78729,0.67031,1.47649,0.000119762,0.000119762,0.000119762
74,1640.34,0.29997,0.41427,1.03124,0.85356,0.84792,0.91842,0.76129,0.76981,0.67511,1.4514,0.000115634,0.000115634,0.000115634
75,1662.31,0.28303,0.38374,1.01733,0.89283,0.82963,0.91052,0.7414,0.77846,0.63813,1.48691,0.000111506,0.000111506,0.000111506
76,1684.38,0.27539,0.35943,1.01274,0.83818,0.87053,0.90366,0.72223,0.8267,0.70916,1.5367,0.000107378,0.000107378,0.000107378
77,1705.58,0.2833,0.37327,1.01648,0.90643,0.83792,0.90642,0.72135,0.80386,0.67125,1.53397,0.000103249,0.000103249,0.000103249
78,1728.15,0.28529,0.38113,1.02002,0.89731,0.87907,0.92084,0.75158,0.7686,0.60703,1.45828,9.91209e-05,9.91209e-05,9.91209e-05
79,1750.15,0.27897,0.38274,1.01283,0.90719,0.84685,0.90947,0.74361,0.79165,0.61955,1.50027,9.49926e-05,9.49926e-05,9.49926e-05
80,1771.41,0.26501,0.36955,1.0068,0.80799,0.87142,0.89545,0.73179,0.81469,0.70542,1.54655,9.08643e-05,9.08643e-05,9.08643e-05
81,1793.54,0.26755,0.36409,1.01014,0.81942,0.91409,0.9207,0.76347,0.79869,0.61755,1.47537,8.6736e-05,8.6736e-05,8.6736e-05
82,1815.78,0.26536,0.35026,1.00833,0.88207,0.82588,0.903,0.7322,0.79655,0.68755,1.49583,8.26077e-05,8.26077e-05,8.26077e-05
83,1837.11,0.26755,0.3624,1.00078,0.86544,0.81657,0.89717,0.74541,0.74667,0.66272,1.44447,7.84794e-05,7.84794e-05,7.84794e-05
84,1858.92,0.27022,0.35743,1.00768,0.90459,0.83865,0.91845,0.76082,0.74647,0.6321,1.42032,7.43511e-05,7.43511e-05,7.43511e-05
85,1881.28,0.26187,0.34558,1.00031,0.91746,0.83336,0.91254,0.74853,0.78319,0.61652,1.47946,7.02228e-05,7.02228e-05,7.02228e-05
